40.751,-73.994,381519,,"{location: new google.maps.LatLng(40.751,-73.994), weight: 381519},"
40.75,-73.991,354266,,"{location: new google.maps.LatLng(40.75,-73.991), weight: 354266},"
40.645,-73.782,344022,,"{location: new google.maps.LatLng(40.645,-73.782), weight: 344022},"
40.774,-73.871,319422,,"{location: new google.maps.LatLng(40.774,-73.871), weight: 319422},"
40.774,-73.873,297618,,"{location: new google.maps.LatLng(40.774,-73.873), weight: 297618},"
40.75,-73.992,295006,,"{location: new google.maps.LatLng(40.75,-73.992), weight: 295006},"
40.769,-73.863,289037,,"{location: new google.maps.LatLng(40.769,-73.863), weight: 289037},"
40.645,-73.777,230207,,"{location: new google.maps.LatLng(40.645,-73.777), weight: 230207},"
40.757,-73.99,219578,,"{location: new google.maps.LatLng(40.757,-73.99), weight: 219578},"
40.752,-73.978,203680,,"{location: new google.maps.LatLng(40.752,-73.978), weight: 203680},"
40.756,-73.991,188078,,"{location: new google.maps.LatLng(40.756,-73.991), weight: 188078},"
40.768,-73.982,179050,,"{location: new google.maps.LatLng(40.768,-73.982), weight: 179050},"
40.77,-73.864,176726,,"{location: new google.maps.LatLng(40.77,-73.864), weight: 176726},"
40.751,-73.991,174608,,"{location: new google.maps.LatLng(40.751,-73.991), weight: 174608},"
40.749,-73.992,167639,,"{location: new google.maps.LatLng(40.749,-73.992), weight: 167639},"
40.75,-73.995,155643,,"{location: new google.maps.LatLng(40.75,-73.995), weight: 155643},"
40.774,-73.875,152818,,"{location: new google.maps.LatLng(40.774,-73.875), weight: 152818},"
40.756,-73.99,149966,,"{location: new google.maps.LatLng(40.756,-73.99), weight: 149966},"
40.742,-74.004,143978,,"{location: new google.maps.LatLng(40.742,-74.004), weight: 143978},"
40.74,-74.006,141787,,"{location: new google.maps.LatLng(40.74,-74.006), weight: 141787},"
40.77,-73.863,136307,,"{location: new google.maps.LatLng(40.77,-73.863), weight: 136307},"
40.764,-73.973,135713,,"{location: new google.maps.LatLng(40.764,-73.973), weight: 135713},"
40.647,-73.79,131846,,"{location: new google.maps.LatLng(40.647,-73.79), weight: 131846},"
40.762,-73.979,130801,,"{location: new google.maps.LatLng(40.762,-73.979), weight: 130801},"
40.738,-73.988,130585,,"{location: new google.maps.LatLng(40.738,-73.988), weight: 130585},"
40.762,-73.966,127260,,"{location: new google.maps.LatLng(40.762,-73.966), weight: 127260},"
40.74,-73.995,125115,,"{location: new google.maps.LatLng(40.74,-73.995), weight: 125115},"
40.769,-73.982,121316,,"{location: new google.maps.LatLng(40.769,-73.982), weight: 121316},"
40.763,-73.974,120795,,"{location: new google.maps.LatLng(40.763,-73.974), weight: 120795},"
40.773,-73.982,118917,,"{location: new google.maps.LatLng(40.773,-73.982), weight: 118917},"
40.737,-73.989,118751,,"{location: new google.maps.LatLng(40.737,-73.989), weight: 118751},"
40.752,-73.977,118246,,"{location: new google.maps.LatLng(40.752,-73.977), weight: 118246},"
40.763,-73.968,114627,,"{location: new google.maps.LatLng(40.763,-73.968), weight: 114627},"
40.644,-73.79,112418,,"{location: new google.maps.LatLng(40.644,-73.79), weight: 112418},"
40.779,-73.962,110689,,"{location: new google.maps.LatLng(40.779,-73.962), weight: 110689},"
40.774,-73.874,107389,,"{location: new google.maps.LatLng(40.774,-73.874), weight: 107389},"
40.757,-73.967,105554,,"{location: new google.maps.LatLng(40.757,-73.967), weight: 105554},"
40.752,-73.975,104010,,"{location: new google.maps.LatLng(40.752,-73.975), weight: 104010},"
40.761,-73.987,103805,,"{location: new google.maps.LatLng(40.761,-73.987), weight: 103805},"
40.748,-73.985,103216,,"{location: new google.maps.LatLng(40.748,-73.985), weight: 103216},"
40.746,-73.978,102874,,"{location: new google.maps.LatLng(40.746,-73.978), weight: 102874},"
40.737,-73.997,102851,,"{location: new google.maps.LatLng(40.737,-73.997), weight: 102851},"
40.758,-73.989,102680,,"{location: new google.maps.LatLng(40.758,-73.989), weight: 102680},"
40.726,-73.992,102168,,"{location: new google.maps.LatLng(40.726,-73.992), weight: 102168},"
40.757,-73.972,101702,,"{location: new google.maps.LatLng(40.757,-73.972), weight: 101702},"
40.753,-73.978,101440,,"{location: new google.maps.LatLng(40.753,-73.978), weight: 101440},"
40.763,-73.982,101125,,"{location: new google.maps.LatLng(40.763,-73.982), weight: 101125},"
40.779,-73.954,100933,,"{location: new google.maps.LatLng(40.779,-73.954), weight: 100933},"
40.752,-73.976,99646,,"{location: new google.maps.LatLng(40.752,-73.976), weight: 99646},"
40.762,-73.986,99239,,"{location: new google.maps.LatLng(40.762,-73.986), weight: 99239},"
40.74,-74.002,98795,,"{location: new google.maps.LatLng(40.74,-74.002), weight: 98795},"
40.744,-74.007,98352,,"{location: new google.maps.LatLng(40.744,-74.007), weight: 98352},"
40.744,-73.984,97984,,"{location: new google.maps.LatLng(40.744,-73.984), weight: 97984},"
