Pickup_Latitude,Pickup_Longitude,Dropoff_Lattitude,Dropoff_Longitude,Counts
40.75,-73.995,40.756,-73.991,1175
40.739,-73.983,40.749,-73.992,1172
40.751,-73.994,40.756,-74.003,1168
40.757,-73.99,40.765,-73.984,1167
40.764,-73.983,40.75,-73.991,1167
40.774,-73.873,40.763,-73.982,1165
40.752,-74.005,40.75,-73.995,1161
40.76,-73.97,40.753,-73.975,1157
40.774,-73.873,40.758,-73.989,1156
40.75,-73.991,40.759,-73.986,1154
40.762,-73.966,40.771,-73.96,1149
40.774,-73.873,40.755,-73.973,1147
40.737,-73.989,40.751,-73.979,1146
40.762,-73.979,40.751,-73.991,1142
40.757,-73.967,40.752,-73.975,1141
40.751,-73.994,40.756,-73.973,1139
40.774,-73.873,40.752,-73.977,1137
40.738,-73.988,40.751,-73.979,1136
40.757,-74.001,40.75,-73.995,1134
40.738,-74.004,40.75,-73.995,1133
40.746,-73.982,40.742,-73.975,1133
40.77,-73.864,40.756,-73.973,1133
40.759,-73.985,40.751,-73.991,1131
40.75,-73.991,40.743,-73.987,1129
40.753,-73.978,40.751,-73.991,1129
40.75,-73.991,40.756,-73.991,1125
40.751,-73.994,40.765,-73.981,1125
40.764,-73.996,40.75,-73.995,1125
40.75,-73.991,40.759,-73.981,1124
40.743,-73.993,40.749,-73.992,1121
40.766,-73.98,40.75,-73.991,1120
40.757,-73.99,40.76,-73.981,1118
40.752,-73.978,40.749,-73.992,1114
40.752,-73.994,40.756,-74.002,1111
40.765,-73.981,40.751,-73.991,1106
40.759,-73.986,40.75,-73.995,1104
40.756,-73.975,40.763,-73.97,1098
40.745,-73.981,40.749,-73.992,1097
40.751,-73.994,40.761,-73.998,1097
40.762,-73.975,40.754,-73.978,1096
40.769,-73.863,40.763,-73.982,1096
40.774,-73.875,40.756,-73.973,1089
40.745,-73.983,40.751,-73.978,1086
40.765,-73.981,40.75,-73.992,1086
40.751,-73.987,40.762,-73.979,1083
40.751,-73.994,40.76,-73.986,1080
40.744,-73.992,40.749,-73.992,1079
40.736,-74.006,40.75,-73.995,1077
40.742,-73.975,40.749,-73.992,1077
40.75,-73.991,40.758,-73.982,1077
40.762,-73.983,40.751,-73.991,1077
40.75,-73.995,40.751,-74.005,1076
40.751,-73.994,40.766,-73.983,1073
40.764,-73.982,40.75,-73.991,1066
40.762,-73.984,40.75,-73.991,1062
40.761,-73.969,40.752,-73.975,1061
40.762,-73.978,40.75,-73.991,1061
40.745,-74.006,40.75,-73.995,1059
40.763,-73.982,40.774,-73.871,1057
40.758,-73.989,40.75,-73.991,1056
40.769,-73.863,40.755,-73.973,1056
40.74,-73.995,40.748,-73.989,1052
40.762,-73.966,40.768,-73.962,1052
40.751,-73.991,40.753,-73.979,1049
40.751,-74.005,40.75,-73.995,1047
40.759,-73.985,40.75,-73.992,1045
40.74,-73.982,40.749,-73.992,1043
40.746,-73.998,40.75,-73.995,1043
40.77,-73.863,40.762,-73.979,1037
40.731,-74.007,40.75,-73.995,1035
40.745,-73.985,40.753,-73.979,1034
40.757,-73.986,40.75,-73.992,1024
40.647,-73.79,40.774,-73.873,1023
40.75,-73.991,40.755,-73.984,1023
40.751,-73.994,40.757,-74.004,1023
40.752,-73.993,40.756,-74.002,1022
40.751,-73.994,40.762,-73.986,1020
40.764,-73.973,40.75,-73.991,1020
40.733,-74.006,40.75,-73.995,1019
40.762,-73.966,40.779,-73.954,1015
40.76,-73.984,40.751,-73.991,1014
40.759,-73.986,40.758,-74.001,1009
40.762,-73.966,40.766,-73.955,1006
40.762,-73.968,40.753,-73.975,1003
40.75,-73.992,40.742,-73.975,1001
40.782,-73.972,40.777,-73.964,1000
40.711,-74.016,40.721,-74.01,999
40.763,-73.974,40.75,-73.991,999
40.758,-73.966,40.752,-73.975,997
40.767,-73.954,40.768,-73.964,997
40.752,-73.975,40.742,-73.975,996
40.756,-73.986,40.75,-73.991,995
40.751,-73.994,40.764,-73.996,994
40.769,-73.863,40.758,-73.989,994
40.751,-73.994,40.752,-73.979,991
40.757,-73.99,40.759,-73.982,990
40.773,-73.958,40.779,-73.954,988
40.808,-73.964,40.795,-73.972,987
40.75,-73.992,40.756,-73.975,985
40.751,-73.994,40.755,-73.973,982
