Hour,Speed
0,11.8637137539
1,13.0163277168
2,17.2343805178
3,13.801721756
4,17.0644806895
5,16.5663247641
6,14.618184397
7,11.7485985762
8,10.5830930011
9,10.3733728602
10,8.4842405713
11,8.8981945946
12,9.3788359663
13,8.3215727545
14,7.6312363381
15,10.204985642
16,8.4617617225
17,7.2500629388
18,8.1005080608
19,9.7334016996
20,9.0598407177
21,10.2003125875
22,10.4215383406
23,12.2033219971
